,JobDescription,JobDetails_CompanyIndustry,JobDetails_CompanyType,JobDetails_EmploymentType,JobDetails_JobLocation,JobDetails_JobRole,JobDetails_MonthlySalaryRange,JobDetails_NumberofVacancies,PreferredCandidate_CareerLevel,PreferredCandidate_ResidenceLocation,Skills,meta_Company,meta_Date,meta_Location,meta_Title,meta_link
49,يدرس ويطورالتنظيم الداخلي للشركة ويدرس تأثيره على مرونة وتنفيذ العمليات.\nيعد ويطور الهيكل التنظيمي للشركة موضحاً الوحدات والعلاقات فيما بينها وتوزيع الادوار وتحديد المسميات الادارية لفريق العمل.\nيحلل ويوصف الوظائف انطلاقاً من أهداف وغايات الشركة ويحدد المؤهلات المناسبة لشغل الوظائف كالمؤهل العلمي المناسب ومدة ونوع الخبرة المطلوبة\nيستخدم الاساليب الاحصائية المتبعة للتنبؤ بالموارد البشرية كالاساليب الكمية والاساليب المعتمدة على تقدير جهد العمل ومقابلة الطلب بالعرض ومعالجة الفائض بالعجز وتحديد الاحتياجات النوعية من العمالة\nينشئ ويدير علاقات جيدة مع مصادر الإمداد بالمتقدمين\nيخطط وينفذ ويعد خطة الاعلان عن الوظائف الشاغرة\nيخطط وينفذ– منفرداً أو بمشاركة مشرفي الشعب - مقابلات الأولية اختيار للمتقدمين لشغل وظائف معينة\nيخطط وينفذبمشاركة مشرفي الشعب مقابلات تقييم اداء العاملين الدورية\nيعد على فترات تقريراً دورياً يناقش الاسباب التي تدفع إلى ترك العمل وكيفية علاجها\nيتولى بالاشتراك مع مشرفي بوضع الاختبارات التمهيدية (الفنية والنفسية والمهارية والعقلية وغيرها) للمتقدمين لشغل الوظائف,Manufacturing,Employer (Private Sector),Full Time Employee,"Dammam, Saudi Arabia",Human Resources and Recruitment,Unspecified,2,Mid Career,Saudi Arabia,معرفة أنظمة تتبع المتقدمين\nفهم قوي لتشريعات العمل وعملية كشوف المرتبات\nالإلمام بدورة التوظيف الكاملة\nمهارات تواصل خطية وشفويه ممتازة\nقدرات جيدة في حل المشكلات\nمهارات إدارة الفريق,شركة صناع المراتب للصناعات,Date Posted: Nov 28,"Dammam, Saudi Arabia",أخصائي موارد بشرية,/en/saudi-arabia/jobs/%D8%A3%D8%AE%D8%B5%D8%A7%D8%A6%D9%8A-%D9%85%D9%88%D8%A7%D8%B1%D8%AF-%D8%A8%D8%B4%D8%B1%D9%8A%D8%A9-4458041/
50,تنفيذ الإجراءات المالية والمحاسبية المعتمدة من الإدارة العليا .\nإ.جراء التحليل المالي و عمل تقارير دورية للإدارة\nمراقبة وتسجيل المعاملات المالية وفقا لسياسات الشركة واللوائح.\nرصد النفقات وتحليل الإيرادات وتحديد الفروق في الميزانية وتقديم تقرير عن ذلك إلى الإدارة.\nالعمل مع المراجعين الخارجيين على إدارة عملية المراجعة الخارجية وجميع القضايا الضريبية.\nالرد على استفسارات المحاسبية من الإدارة.\nتوفير التوجيه للمحاسبين الآخرين عند الحاجة.\nالعمل على البرامج المحاسبية بكفاءة وإجادة استخدام برامج الإكسل والورود.\nتنظيم وتحديث قاعدة بيانات االشركة والملفات الضريبية لديها.\nيوصي بالاستراتيجيات الضريبية التي تتوافق مع أهداف العمل.\nتحديد المدخرات الضريبية واقتراح طرق لزيادة الأرباح.\nالتنسيق مع المراجعين الداخليين والخارجيين.,"Catering, Food Service, & Restaurant",Unspecified,Full Time Employee,"Jeddah , Saudi Arabia",Accounting and Auditing,Unspecified,1,Management,"Jeddah , Saudi Arabia","الحصول على درجة البكالوريوس في المحاسبة أو المالية مثل (CMA, CPA)\nخبرة لا تقل عن 5 سنوات فى المحاسبة أو المالية.\nإجادة التعامل مع برامج المحاسبة المختلفة.\nمهارات تحليلية ممتازة والقدرة على إدارة الوقت.\nمهارات قوية في إجراء العمليات الحسابية المختلفة.\nخبرة في ضريبة القيمة المضافة.\nفهم قوي لنظريات ومباديء المحاسبة.\nالافضلية لمن لديهم خبرة في مجال المطاعم.",Confidential Company,Date Posted: Dec 01,"Jeddah , Saudi Arabia",رئيس حسابات Chief Accountant,/en/saudi-arabia/jobs/%D8%B1%D8%A6%D9%8A%D8%B3-%D8%AD%D8%B3%D8%A7%D8%A8%D8%A7%D8%AA-chief-accountant-4460036/
51,تحقيق نسب دقه عالية في الحسابات من خلال فعالية القيادة والتنظيم والتخطيط واعداد نظام محاسبي قوي ، في إطار الاستراتيجيات المتفق عليها والمبادئ التوجيهية من الاداره .,Food & Beverage Production,Employer (Private Sector),Full Time Employee,"Buraidah, Saudi Arabia",Accounting and Auditing,Unspecified,2,Management,Saudi Arabia,الاشراف والمتابعة لعمل المحاسبين والتأكد من صحة التوجيه المحاسبي للقيود وادخالها على البرنامج المحاسبي وترحيل القيود\nاعداد التقارير اليوميه الخاصه بالمبيعات والمصروفات وتفصيلها\nاعداد تقارير يوميه بخصوص الاستحقاقات الخاصه بالموردين والايجارات وغيرها ومتابعة سدادها\nاعداد ميزان المراجعة الشهري وقوائم الدخل والمركز المالي وحساب التكاليف وكافة التقارير الشهريه وعمل الإقفالات الشهرية الضرورية\nاعداد قائمة التدفقات النقدية cash flow\nمراقبة عمليات الاستلام و الصرف من الخزينة والتأكد من سلامة وصحة سندات القبض والدفع وجرد الخزينة ومراقبة العهد النقدية .\nمتابعة الاعمال المتعلقة بالبنوك مثل الايداعات والمصروفات و التسويات البنكية و خطابات الضمانات LG  - والاعتمادات المستنديةLC\nالجرد الدوري للمخزون\nإعداد الميزانية العمومية والميزانيات الفصلية – شهريه وربع سنوية و نصف سنوية وعمل الموازنات التقديرية واعداد التقارير المالية المطلوبة للإدارة .,SAUD ALMOHAIMEED COMPANY,Date Posted: Dec 03,"Buraidah, Saudi Arabia",رئيس حسابات,/en/saudi-arabia/jobs/%D8%B1%D8%A6%D9%8A%D8%B3-%D8%AD%D8%B3%D8%A7%D8%A8%D8%A7%D8%AA-4460353/
52,"استخدام استراتيجيات مناسبة لشراء احتياجات المؤسسة بأسعار مناسبة.\nاكتشاف الموردين وبدء التعاقد وعمل شراكات تجارية وتنظيمية.\nالتفاوض مع البائعين لتأمين شروط جودة وسعر مناسب.\nالموافقة على طلب السلع والخدمات اللازمة من الاقسام المختلفة.\nوضع اللمسات الأخيرة على تفاصيل شراء الطلبات والتسليم.\nفحص واختبار العقود الحالية والتأكد من مواعيد تجديد العقود.\nمتابعة المتطلبات وتقديم التقارير الخاصة بالمشتريات والمتطلبات.\nالتعاون مع الإدارات المختلفة لضمان وضوح المتطلبات والميزانيات.\nبناء وتطوير قسم المشتريات ووضع خطط الشراء ورسم السياسات والإجراءات.\nتقديم احتياجات كل قسم من المواد الأولية ووضع الموازنة الملائمة.\nبناء وتطوير خطة سنوية الاحتياجات من المواد الأولية اللازمة.\nالبحث الدائم عن موردين جدد للمواد الأولية المستخدمة في التصنيع أو التشغيل.\nبناء وتطوير علاقات متينة من الموردين والحفاظ عليها.\nعمل خطة دورية مع نهاية كل عام وتحديث السياسات والإجراءات.\nبناء الهياكل والنماذج المختلفة المستخدمة في دائرة المشتريات.\nالاحتفاظ بملفات طلبات الشراء الداخلية والخارجية, وعروض الأسعار والعقود.\nالتواصل الدائم مع إدارة المستودعات بشأن نقص المخزون ومدى استيعاب المخازن وحركة معدل دوران المخزون.\nإعداد الطلبيات الواردة من الأقسام المختلفة وإرسالها إلى الموردين المعتمدين ومتابعتها حتى استلامها.\nمراجعة عروض الموردين والرد عليها بالإيجاب أو الرفض.\nمتابعة التغيرات التي تظهر على أسعار المواد الخام بشكل دوري.\nالاتصال مع الجهة الطالبة للبضاعة والمتابعة المواد المطلوبة في الوقت المناسب والطريقة المناسبة.","Catering, Food Service, & Restaurant",Employer (Private Sector),Full Time Employee,"Jeddah , Saudi Arabia",Purchasing and Procurement,Unspecified,1,Director/Head,Saudi Arabia,القدرة العالية على التخطيط .\nالقدرة العالية على التواصل باللغة الانجليزية والعربية.\nالقدرة العالية على إجراء عمليات التفاوض.\nالمعرفة الجيدة بإجراءات صياغة العقود والمراسلات التجارية وإبرام الصفقات التجارية.\nاجادة استخدام برامج MS Office واستخدام الانترنت.\nاجادة التعامل مع فريق العمل.\nالقدرة على إعداد التقارير بشكل دوري.,Overdose Company,Date Posted: Nov 28,"Jeddah , Saudi Arabia",مدير المشتريات,/en/saudi-arabia/jobs/%D9%85%D8%AF%D9%8A%D8%B1-%D8%A7%D9%84%D9%85%D8%B4%D8%AA%D8%B1%D9%8A%D8%A7%D8%AA-4458586/
53,فتح ملفات التأمينات الاجتماعية واستخراج الشهادات والإضافة والحذف والتعديل وكل ما يخص الحركات الشهرية\nإدخال جميع الحركات الشهرية من خصومات وعمل اضافي واجازات وبدلات وكشوفات سلف ومديونيات الموظفين وكل ما يتعلق بالرواتب الشهريه.\nمتابعة عقود الموظفين وتجديدها او انهاؤها في الوقت المناسب والموظفين تحت التجربة.\nالتنسيق مع شركات التأمين الطبي لمتابعة طلبات الإضافة والحذف والمطالبات وحل مشاكل الموظفين المتعلقة بالتأمين.\nعمل الخطابات (نهاية خدمه-انذارات-خطابات التصديق-خطابات تعريف بالراتب).\nرفع استقالات الموظفين وابلاغ قسم الرواتب حتى لا يتم الصرف .\nمراجعة ملفات الموظفين .\nرفع تقرير أسبوعى إلى مدير الموارد البشرية لبيان ما تم إنجازه و ما تم تأجيله مع بيان السبب.\nتنظيم و حفظ سجلات و نماذج إدارة الموارد البشرية و إدخال البيانات و مساعدة مدير الموارد البشرية فى مهامه حسب الطلب\nيقوم بإرسال التنبيهات والإنذارات الخاصة بعدم الإلتزام بالأعمال أو توقيتاتها الى غير الملتزمين ويسجل ذلك في سجل خاص\nيعد ويوفر أدوات ونماذج العمل التي تتطلبها العمليات\nتنظيم بيانات المرشحين مثل السير الذاتيه والمهام الوظيفيه وتفاصيل الإتصال في قواعد البيانات الداخليه.\nالمساعده في توظيف وتعيين الموظفين الجدد ومراجعة الملفات اللازمة.\nتنفيذ أي مهام أخرى تطلب منه.,Industrial Production,Unspecified,Full Time Employee,"Riyadh, Saudi Arabia",Human Resources and Recruitment,Unspecified,Unspecified,Mid Career,,العمل الجماعي\nالقدرة على استخدام برامج مايكروسوفت أوفيس.,Confidential Company,Date Posted: Nov 30,"Riyadh, Saudi Arabia",اداري شؤون الموظفين,/en/saudi-arabia/jobs/%D8%A7%D8%AF%D8%A7%D8%B1%D9%8A-%D8%B4%D8%A4%D9%88%D9%86-%D8%A7%D9%84%D9%85%D9%88%D8%B8%D9%81%D9%8A%D9%86-4459379/
54,استقبال العملاء بطريقة مهنية و توجيههم الى موظف المبيعات داخل صالة العرض بالإضافة الى تلقي و تحويل المكالمات الهاتفية اليومية\nالدوام : فترة واحدة\nمن : 9ص الى 6م,Construction & Building,Unspecified,Full Time Employee,"Jeddah , Saudi Arabia",Administration,"$1,000 - $1,500",1,Fresh Graduate,Saudi Arabia,الترحيب بالزوار والعملاء\nادخال البيانات\nتوجيه العملاء الى الموظف المسؤول داخل صالة العرض\nالقيام بأعمال الطباعة\nتزويد العملاء بالمعلومات اللازمة وتعريفهم بالمنتجات .\nتنفيذ أي مهام أخرى يكلف بها من قبل الرئيس المباشر,Confidential Company,Date Posted: Dec 01,"Jeddah , Saudi Arabia",موظف استقبال,/en/saudi-arabia/jobs/%D9%85%D9%88%D8%B8%D9%81-%D8%A7%D8%B3%D8%AA%D9%82%D8%A8%D8%A7%D9%84-4459912/
55,مطلوب بائعة سعودية حسنة المظهر للعمل في محل نظارات في مول على ان تكون ذات خبرة في البيع ولديها اسلوب في الاقناع وتجيد التعامل مع العملاء .,Fashion & Apparel,Employer (Public Sector),Full Time Employee,"Ar Ruways, Jeddah , Saudi Arabia",Beauty and Fashion,"$3,000 - $4,000",4,Mid Career,"Jeddah , Saudi Arabia",: خبرا سابقة في المبيعات .\n: تحمل الضغط والحماس في العمل .\n: التعامل الجيد مع الاشخاص والقدرة على الاقناع .\n:القدرة على تعلم المهام الجديدة بسرعة ودقة .,موسسة طاهر بكر التجارية,Date Posted: Dec 02,"Ar Ruways, Jeddah , Saudi Arabia",بائعة,/en/saudi-arabia/jobs/%D8%A8%D8%A7%D8%A6%D8%B9%D8%A9-4460193/
56,"التعامل مع الشكاوى ومخالفات الموظفين.\nمسؤول عن إنذارات الموظفين\nإجراء تحقيقات الموظفين (التحقيق والاستجواب وإعداد التقارير النهائية)\nمعرفة قوية بقانون العمل السعودي وعلى دراية بجوانب العلاقات الحكومية.\nDealing with complaints and employee violations.\nHolding Employee discipline and warnings.\nHolding employee investigations (investigating, interrogating,and preparing final reports)\nStrong knowledge of Saudi labor law and familiar with Government Relations aspects",Retail & Wholesale,Unspecified,Full Time Employee,"Jeddah , Saudi Arabia",Human Resources and Recruitment,Unspecified,1,Mid Career,"Jeddah , Saudi Arabia",Requirements\nسعودي الجنسية\nحاصل على درجة البكالوريوس في الموارد البشرية أو ما يعادلها.\n 3+ سنوات خبرة\nخبرة قوية في إجراء التحقيقات الإدارية\nمعرفة قوية بقانون العمل السعودي.\nمهارات الاتصال الشفوي والكتابي المتميزة.\nتحديث مع الموارد البشرية في السوق السعودي\nمهارات التواصل الجيد\nمهارات لغوية ممتازة (عربي وباللغة الانجليزية\nمهارات في يكروسوفت أوفيس\nSaudi National\nA bachelor’s degree holder in Human Resources or equivalent.\n3+ years of experience\nStrong experience in holding administrative investigations.\nStrong knowledge of Saudi labor law .\nOutstanding verbal and written communication skills.\nUpdated with Human Resources in Saudi Market\nGood Communication Skills\nExcellent verbal and written communication skills (Arabic + English ).\nV.good computer skills (Microsoft office application) ,Confidential Company,Date Posted: Nov 25,"Jeddah , Saudi Arabia",Employee Relations Specialist -أخصائي شوؤن موظفين,/en/saudi-arabia/jobs/employee-relations-specialist-%D8%A3%D8%AE%D8%B5%D8%A7%D8%A6%D9%8A-%D8%B4%D9%88%D8%A4%D9%86-%D9%85%D9%88%D8%B8%D9%81%D9%8A%D9%86-4314865/
57,شركة آركو للاستقدام | Arco Recruitment Company\nتعلن عن توفر شاغر وظيفي بمسمى:\nاخصائي مشتريات | Purchasing Specialist\nالمهام المطلوبة:\n• استقبال ومراجعة كافة طلبات الشراء من الإدارة لتحديد أفضل اساليب الشراء.\n• تحديد وفرز الموردين لتجهيز قائمة من الموردين حسب الاحتياجات والمتطلبات والمعايير المحددة مسبقًا من أجل الحصول على قائمة بخيارات بديلة للموردين.\n• إعداد وتعميم طلبات العروض لضمان تلبية متطلبات العمل ومشاركتها مع الموردين المؤهلين.\n• التفاوض مع الموردين ومتابعة وتقييم العقود لضمان الاتفاق على بنود عقد مناسبة تتماشى مع معايير الجودة وتقليل التكلفة وإنهاء الخدمات في الأوقات المحددة.\n• التعامل مع مشاكل الموردين المتعلقة بأوقات التنفيذ وكمية ونوعية المواد إضافة إلى الاسعار وحل هذه المشاكل.\n• توثيق جميع العمليات الشرائية والتعاملات مع الموردين وجدول الأسعار وفقاً للأنظمة واللوائح.\n• متابعة وتقييم أداء وتقديم تقارير عن الأداء لضمان جودة الخدمات المقدمة.,Other Business Support Services,Employer (Private Sector),--,"Riyadh, Saudi Arabia",Purchasing and Procurement,Unspecified,Unspecified,Mid Career,"Riyadh, Saudi Arabia",المهارات والمتطلبات:\nالقدرة على التفاوض.\nالقدرة على التحليل وإجراء الدراسات.\nالقدرة على إدارة المنافسات والعقود.\nإجادة التعامل مع برامج المتخصصة في هذا المجال.\nإجادة اللغة الإنجليزية والحاسب الآلي. الشهادات والخبرات المطلوبة:\n \nخبرة لاتقل عن سنتين.\nدبلوم واعلى.,Arco Recruitment co.,Date Posted: Dec 01,"Riyadh, Saudi Arabia",اخصائي مشتريات | Purchasing Specialist,/en/saudi-arabia/jobs/%D8%A7%D8%AE%D8%B5%D8%A7%D8%A6%D9%8A-%D9%85%D8%B4%D8%AA%D8%B1%D9%8A%D8%A7%D8%AA-purchasing-specialist-4362675/
58,"مطلوب لشركة تقنيه وتكنلوجيه موظفين للعمل في مجال التكنولوجيا\nالعمل لا يتطلب خبرة امكانية اعطاء دورات تدريب لمن هو مناسب العمل يتطلب امتلاك حاسوب , الانضباط الذاتي والجدية .",Marketing; Installation & Technical Services,Unspecified,Full Time Employee,"Riyadh, Saudi Arabia",Marketing and PR,"$1,500 - $2,000",96,Student/Internship,Saudi Arabia,متطلبات العمل\nأستعمال الحاسوب بشكل أساسي\nأمتلاك حاسوب\nالانضباط الذاتي والجدية\nالتعامل مع الي الحاسب بشكل احترافي\nالتعامل والتكلم بشكل لبق مع العملاء\nالاراده في التقدم\nالعمل من البيت,Confidential Company,Date Posted: Nov 01,"Riyadh, Saudi Arabia",مطلوب مندوبي خدمات تكنولوجية,/en/saudi-arabia/jobs/%D9%85%D8%B7%D9%84%D9%88%D8%A8-%D9%85%D9%86%D8%AF%D9%88%D8%A8%D9%8A-%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D8%AA%D9%83%D9%86%D9%88%D9%84%D9%88%D8%AC%D9%8A%D8%A9-4447628/
59,المهام:\nتحديد عملاء محتملين والتواصل معهم وزيارتهم وتزويدهم بمعلومات حول المنتج وتحديد الاحتياجات والجدول الزمني لذلك.\n. حساب المواد ، وإعداد عروض الأسعار، وتقديم دعم ما بعد البيع.\nالمسؤوليات:\nالبحث والتواصل مع العملاء المحتملين وتزويدهم بمعلومات عن امكانيات و خبرة مهندسي و فنيين الشركة في تركيب نظم الطاقة الشمسية.\nعرض نظم الطاقة الشمسية المركبة في مواقعها\nجمع المعلومات لتحديد احتياجات العميل من الطاقة الشمسية بدقة\nاختيار منتجات ونظم الطاقة الشمسية التي تناسب احتياجات العميل \nإعداد ومراجعة التصاميم لتركيب الطاقة الشمسية للعميل\nتزويد العملاء بعروض الأسعار والجدول الزمني للتركيب\nتقديم خدمة ما بعد البيع بما في ذلك مكالمات التواصل وزيارات الموقع\nمتابعة عروض أسعار المبيعات \nاستكمال الاجراءات الخاصة بأوامر الشراء الواردة \nتحقيق الأهداف المطلوبة وأرباح ومبيعات عالية لشركة ,Electric Power Production & Transmission,Employer (Private Sector),Full Time Employee,"Jeddah , Saudi Arabia",Sales,Unspecified,2,Mid Career,Saudi Arabia,المهارات الواجب توفرها:\nمهارة في الاتصال و التواصل، القدرة على الشرح والتقديم ، دراية تامة بالمنتج ، خبرة في المبيعات والتسويق والعلاقات العامة، القدرة على التواصل مع الشركات والسفر وترتيب لقاءات مع اصحاب القرار .\nالشروط: \nخبرة عمل في المجال او مجال مقارب لمدة  لا تقل عن سنتين  \nالالمام باللغة الانجليزية\nالقدرة على السفر والتنقل والعمل بساعات غير منتظمة,Noortech company,Date Posted: Oct 27,"Jeddah , Saudi Arabia",اخصائي بيع الواح طاقة شمسية,/en/saudi-arabia/jobs/%D8%A7%D8%AE%D8%B5%D8%A7%D8%A6%D9%8A-%D8%A8%D9%8A%D8%B9-%D8%A7%D9%84%D9%88%D8%A7%D8%AD-%D8%B7%D8%A7%D9%82%D8%A9-%D8%B4%D9%85%D8%B3%D9%8A%D8%A9-4445930/
60,تصميم ورفع الصور لحسابات المنظمة على مواقع التواصل الاجتماعي.\nالتأكد من أن الرسومات والتخطيطات النهائية جذابة بصريًا ومتوافقة مع العلامة التجارية.\nكتابة وإرسال حملات التسويق عبر البريد الإلكتروني.\nتقديم تقارير وتحليلات دقيقة للعملاء وإدارة الشركة لإثبات العائد الفعال على الاستثمار (ROI).\nالبحث عن فرص وسائل الإعلام الجديدة على الإنترنت التي قد تفيد الأعمال التجارية بما في ذلك وسائل التواصل الاجتماعي وتطوير التطبيق وموقع الشركة.\nتصميم لافتات مواقع الويب والمساعدة في صور الويب.\nالحفاظ على تواجدنا على وسائل التواصل الاجتماعي عبر جميع القنوات الرقمية.\nالتواصل مع العملاء والشركات التابعة والشركاء التابعين.\nمساعدة وكالة التسويق في تطوير محتوى الحملات الإعلانية والتوعية بالعلامة التجارية.\nاستخدام برامج تحليل بيانات الإنترنت لمراقبة أداء برنامج العميل وتقديم توصيات للتحسين.\nالمساهمة في تطوير قنوات التواصل وإدارة الاتصالات الإلكترونية.\nالمساعدة في وسائل الإعلام المدفوعة، بما في ذلك الاتصال بوكالات الإعلان الرقمي.\nمواكبة الاتجاهات الرقمية الحالية.\nمراجعة أسعار الخدمات لتحقيق أفضل الأسعار للعملاء.\nكتابة محتوى جذَّاب وفريد من نوعه وكتابة نصوص تزيد من ثقافة المستهلك في مجال الصيانة.\nتطوير المحتوى للتطبيق ووصف الخدمات ووسائل التواصل الاجتماعي وموقع الشركة.,Internet & E-commerce,Employer (Private Sector),Full Time Employee,"Jeddah , Saudi Arabia","Design, Creative, and Arts","$1,500 - $2,000",2,Mid Career,"Jeddah , Saudi Arabia",الحصول على درجة البكالوريوس في التسويق أو تخصصات ذات علاقة.\nالخبرة السابقة في مجال التسويق للمنتجات أو العلامات التجارية.\nاجادة تصميم وكتابة محتوى إعلاني بشكل إبداعي.\nالخبرة في دراسة وتحليل الأسواق.\nالاطلاع الدائم على الأساليب المختلفة لتسويق المنتجات.\nالانتباه للتفاصيل والقدرة على تقديم أفكار ابداعية.,شركة أسس الماهر,Date Posted: Dec 02,"Jeddah , Saudi Arabia",مسوق الكتروني,/en/saudi-arabia/jobs/%D9%85%D8%B3%D9%88%D9%82-%D8%A7%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-4460384/
61,أ-التواصل مع العملاء، وتنسيق مواعيد الزيارات، ومتابعتها.\nب-استقبال العملاء في مقر المكتب، وتسجيل معلومات الزائر والزيارة.\nج-جدولة مواعيد الزيارات والتنسيق مع مدير الفرع.\nد-إدارة انتظار العملاء.\nهـ-إدارة شكاوى عملاء الفرع هاتفيا\nو-متابعة آراء العملاء عن الخدمة المقدمة ورفع جودة الفرع بتقييمات العملاء.\nز-توديع العملاء.\nالرواتب والحقوق والمزايا تحدد بعد اجتياز المقابلة الشخصية.\nيفضل من لديه المام جيد باللغة الانجليزية تحدثا وكتابة.,Law Firm,Unspecified,Full Time Employee,"Dammam, Saudi Arabia",Secretarial,Unspecified,1,Entry Level,Saudi Arabia,لباقة في التفاعل مع العملاء.\nقدرة على فهم الشخصيات\nشغف ودافع للتطور المستمر\nالتنظيم والترتيب للمهام والاعمال\nمحاولة الاستعانة المستمرة بالذكاء الاصطناعي لانهاء المهام بإبداع وسرعة وجودة عالية.,Confidential Company,Date Posted: Nov 12,"Dammam, Saudi Arabia",موظفة استقبال,/en/saudi-arabia/jobs/%D9%85%D9%88%D8%B8%D9%81%D8%A9-%D8%A7%D8%B3%D8%AA%D9%82%D8%A8%D8%A7%D9%84-4452838/
62, رفع بضائع الشركة (عبر عربات خاصة بذلك) من مستودعات العملاء إلى مواقع العمل ( الارفف، الجندولات ، العروض الارضية).\n- ترتيب ورص المنتجات الخاصة بالشركة في مواقع العمل وعدم ترك مخلفات عملكم.\n- إظهار منتجات الشركة بمظهر لائق ونظيف.\nالالتزام بالتقارير اليومية عن العملاء\n- ترتيب الأصناف حسب التاريخ القديم أول ثم الذي يليه لتفادي المنتهيات.\n- وضع الأسعار على منتجات الشركة بشكل واضح.\n- الالتزام بالمساحات المتفق عليها مع العملاء حسب الموضح لكم من قبل المسئول المباشر.\n- المحافظة على المساحات الخاصة بأصناف الشركة وزيادتها وليس العكس.\n- تقديم تقاريرعن المنتجات قريبة الانتهاء قبل 6 أشهر من نهايتها.\n- يتحمل مندوب التسويق ( المروج) إي منتجات منتهية الصلاحية في مواقع العمل لم يقم بالإبلاغ عنها للمندوب أو المسئول المباشر من خلال التقرير اليومي.\n- سحب المرتجعات من العملاء بغرض تبديلها أو ارجاعها وعدم اهمالها حتى لا يتسبب في تلفها.\n- المحافظة على ممتلكات الشركة التي بعهدتكم والإبلاغ عن التلفيات او الضياع حتى لا يعرضك ذلك للمسائلة وتحمل التكاليف في حال عدم الإبلاغ عنها في حينه.,Food & Beverage Production,Employer (Private Sector),Full Time Employee,"Riyadh, Saudi Arabia",Sales,Unspecified,10,Entry Level,"Riyadh, Saudi Arabia",لقدره على تحمل ضغط العمل\nالأمانة والتحلي بالأخلاق الحميدة والمظهر الجيد\nالالتزام بالدوام الرسمي للشركة,Mahmood Saeed Group,Date Posted: Nov 16,"Riyadh, Saudi Arabia",مصفف أرفف - Merchandiser,/en/saudi-arabia/jobs/%D9%85%D8%B5%D9%81%D9%81-%D8%A3%D8%B1%D9%81%D9%81-merchandiser-4453842/
63,"العمل على التصاميم وفقاً للمعايير المحددة.\nإعداد التصاميم المبتكرة وبشكل احترافي.\nجدولة المهام المطلوبة والالتزام بالانتهاء منها في المواعيد المحددة.\nمعاينة أي تصاميم صادرة سواء مطبوعة أو منشورة على شبكة الإنترنت.\nالتطوير المستمر في الأدوات والبرامج المستخدمة ومواكبة التطور في الأفكار الإبداعية للتصاميم.\nتنفيذ الرسومات والتصاميم اللازمة على جهاز الحاسوب.\nالقيام بأية مهام يكلف بها من قبل رئيس القسم وتقع ضمن نطاق عمله.\nمستشار للسوشيال ومراقب لكل المنصات الخاصة بالسوشيال ميديا،\nتحديد الأسلوب الأمثل لتنفيذ الاستراتيجية التسوقية للمحافظة على أكبر عدد من المتابعين بالاضافة الى جذب متابعين جدد. \nكتابة المحتوى المخصص لكل منتج أو خدمة مقدمة من الشركة للعملاء، ونشرها على منصات السوشيال ميديا .\nتطوير الاستراتيجية التسويقية من خلال البحث عما يهتم به رواد السوشيال ميديا، وخلق محتوى مميز ينجذب إليه الجمهور ويتفاعل معه وبتتبع حركة التفاعل على المواقع من اجل تطوير المحتوى.\nتتبع حركة التفاعل على المواقع من اجل تطوير المحتوى.\nالتمتع بمهارات التعامل مع صفحات السوشيال ميديا، ومعرفة آليات وقنوات التسويق الإلكتروني .\nتحديد أفكار لحملات ناجحة وهادفة والتخطيط لها، عن طريق جمع المعلومات وصناعة المحتوى اللازم ,\nتتبع ردود الفعل الخاصة بالجماهير أو رواد مواقع السوشيال ميديا وتحليلها والوقف على أهم المستجدات في هذه الأعمال لتحديث أعمال الشركة .",Software Development,Employer (Private Sector),Full Time Employee,"Riyadh, Saudi Arabia","Design, Creative, and Arts","$500 - $1,000",1,Mid Career,"Riyadh, Saudi Arabia",خبرة في التعامل مع وسائل التواصل الاجتماعي .\nاتقان أنماطًا مختلفة من الكتابة.\nاتقان اللغة الإنجليزية\nالإلمام ببرامج المايكروسوفت .\nثلاث سنوات خبرة حد أدنى\nمُلِم في التسويق الالكتروني.\nالمعرفة بالتطبيقات الحاسوبية المستخدمة في مجال التصميم الجرافيكي.\nالمعرفة الفنية العالية في مجال التصميم الجرافيكي.\nمعرفة إجراءات وخطوات سير العمل.\nالقدرة على العمل بدون توجيه.\nتحديد الأولويات.\nمهارات الاتصال.,ROWADPLUS,Date Posted: Nov 18,"Riyadh, Saudi Arabia",مصمم فوتوشوب و سوشيال ميديا,/en/saudi-arabia/jobs/%D9%85%D8%B5%D9%85%D9%85-%D9%81%D9%88%D8%AA%D9%88%D8%B4%D9%88%D8%A8-%D9%88-%D8%B3%D9%88%D8%B4%D9%8A%D8%A7%D9%84-%D9%85%D9%8A%D8%AF%D9%8A%D8%A7-4454922/
